year,pctile,beta1,beta2
2054,.5,.2713678,.0774883
2054,.55,.3191582,.0775061
2054,.6,.363216,.0839413
2054,.65,.4221042,.0772483
2054,.7,.4640255,.0853234
2054,.75,.5354308,.0800022
2054,.8,.5987674,.08913
2054,.85,.6955663,.0813749
2054,.9,.8226958,.0745329
2054,.95,1.054154,.033526
2055,.05,-.3242379,.0734114
2055,.1,-.2304736,.1067991
2055,.15,-.1448524,.1099058
2055,.2,-.0775965,.108035
2055,.25,-.0248225,.1135361
2055,.3,.0330554,.110198
2055,.35,.0919288,.103506
2055,.4,.1563782,.0939283
2055,.45,.2054158,.0923316
2055,.5,.2586803,.0903621
2055,.55,.3037968,.093442
2055,.6,.3559317,.0941765
2055,.65,.413139,.0900498
2055,.7,.4513669,.0985883
2055,.75,.5138183,.1003575
2055,.8,.5963002,.094519
2055,.85,.6837301,.0936699
2055,.9,.8220461,.0824879
2055,.95,1.048695,.0452002
2056,.05,-.3779615,.0995498
2056,.1,-.2464926,.1130232
2056,.15,-.172647,.1227206
2056,.2,-.0929595,.1158555
2056,.25,-.0313299,.1169121
2056,.3,.021915,.1164897
2056,.35,.0817233,.1085861
2056,.4,.1489983,.0987422
2056,.45,.1966081,.0981759
2056,.5,.2420791,.0997141
2056,.55,.2910666,.1016203
2056,.6,.3482797,.0993078
2056,.65,.4007559,.0982574
2056,.7,.4468935,.1028986
2056,.75,.506166,.1091337
2056,.8,.5773548,.1088246
2056,.85,.6730766,.099361
2056,.9,.8027756,.0942485
2056,.95,1.032625,.0564967
2057,.05,-.357484,.090273
2057,.1,-.2397767,.1132927
2057,.15,-.1755927,.1287207
2057,.2,-.0996344,.1250121
2057,.25,-.0302459,.1203968
2057,.3,.018738,.1222415
2057,.35,.0721704,.1192171
2057,.4,.1395315,.1091167
2057,.45,.1908973,.1080454
2057,.5,.2339658,.1109608
2057,.55,.2865386,.111568
2057,.6,.3470307,.1054658
2057,.65,.4020177,.1040847
2057,.7,.4514675,.1098989
2057,.75,.5138708,.1136801
2057,.8,.5802084,.1149168
2057,.85,.6729002,.1106017
2057,.9,.816088,.094263
2057,.95,1.038529,.0604795
2058,.05,-.3889384,.1130077
2058,.1,-.2627002,.1307243
2058,.15,-.1798943,.1339848
2058,.2,-.1053355,.1311696
2058,.25,-.0479167,.1327448
2058,.3,.0101486,.1297907
2058,.35,.0649307,.1258869
2058,.4,.1231443,.122921
2058,.45,.1682765,.125967
2058,.5,.2190027,.1251416
2058,.55,.277842,.1204887
2058,.6,.3379213,.1158169
2058,.65,.3903061,.1172442
2058,.7,.4421906,.1244452
2058,.75,.513765,.1199521
2058,.8,.5792463,.1217238
2058,.85,.6712712,.1179543
2058,.9,.8117716,.1033321
2058,.95,1.040219,.0730037
2059,.05,-.3844318,.1150462
2059,.1,-.2564796,.1314654
2059,.15,-.1769146,.1362027
2059,.2,-.0976317,.1312127
2059,.25,-.0357085,.1322193
2059,.3,.0092543,.1353265
2059,.35,.0708807,.1297083
2059,.4,.1243878,.1293509
2059,.45,.1708263,.1319747
2059,.5,.2278985,.1279417
2059,.55,.2900763,.1220855
2059,.6,.3533023,.1151371
2059,.65,.4012462,.1205811
2059,.7,.4544283,.1260632
2059,.75,.5194452,.1258859
2059,.8,.6067461,.1189845
2059,.85,.6851445,.1210526
2059,.9,.8202269,.1089288
2059,.95,1.035665,.0874965
2060,.05,-.3663237,.1065625
2060,.1,-.244185,.1260073
2060,.15,-.1554187,.1269369
2060,.2,-.068819,.1182109
2060,.25,-.0155716,.1239219
2060,.3,.0286574,.1288263
2060,.35,.0854405,.1252745
2060,.4,.1417072,.1252694
2060,.45,.1925016,.1259252
2060,.5,.2510563,.122583
2060,.55,.3034727,.1209292
2060,.6,.3675693,.1143524
2060,.65,.4262892,.1133626
2060,.7,.4764462,.1210305
2060,.75,.5383343,.1234232
2060,.8,.6248933,.1176981
2060,.85,.7042439,.1208082
2060,.9,.8275045,.1137542
2060,.95,1.056238,.0885015
2061,.05,-.3568141,.1052646
