year,placeholder,growth_rate,cons,beta1,beta2,anomalymin,anomalymax,ssp,global_consumption,ratio
2277,"ss","value",0,.0788008,.3065301,0,11,"SSP3",7.636e+14,2.215059
2278,"ss","value",0,.0791536,.3079026,0,11,"SSP3",7.670e+14,2.224977
2279,"ss","value",0,.0795081,.3092813,0,11,"SSP3",7.704e+14,2.23494
2280,"ss","value",0,.0798641,.3106663,0,11,"SSP3",7.739e+14,2.244948
2281,"ss","value",0,.0802217,.3120574,0,11,"SSP3",7.773e+14,2.255001
2282,"ss","value",0,.0805809,.3134547,0,11,"SSP3",7.808e+14,2.265098
2283,"ss","value",0,.0809418,.3148583,0,11,"SSP3",7.843e+14,2.275241
2284,"ss","value",0,.0813042,.3162682,0,11,"SSP3",7.878e+14,2.285429
2285,"ss","value",0,.0816683,.3176844,0,11,"SSP3",7.914e+14,2.295663
2286,"ss","value",0,.082034,.319107,0,11,"SSP3",7.949e+14,2.305943
2287,"ss","value",0,.0824013,.3205359,0,11,"SSP3",7.985e+14,2.316268
2288,"ss","value",0,.0827703,.3219712,0,11,"SSP3",8.020e+14,2.32664
2289,"ss","value",0,.0831409,.3234129,0,11,"SSP3",8.056e+14,2.337059
2290,"ss","value",0,.0835132,.3248611,0,11,"SSP3",8.092e+14,2.347523
2291,"ss","value",0,.0838872,.3263158,0,11,"SSP3",8.129e+14,2.358035
2292,"ss","value",0,.0842628,.327777,0,11,"SSP3",8.165e+14,2.368594
2293,"ss","value",0,.0846401,.3292447,0,11,"SSP3",8.201e+14,2.3792
2294,"ss","value",0,.0850191,.3307191,0,11,"SSP3",8.238e+14,2.389854
2295,"ss","value",0,.0853998,.3322,0,11,"SSP3",8.275e+14,2.400556
2296,"ss","value",0,.0857823,.3336875,0,11,"SSP3",8.312e+14,2.411305
2297,"ss","value",0,.0861664,.3351817,0,11,"SSP3",8.349e+14,2.422102
2298,"ss","value",0,.0865522,.3366826,0,11,"SSP3",8.387e+14,2.432948
2299,"ss","value",0,.0869398,.3381902,0,11,"SSP3",8.424e+14,2.443843
2300,"ss","value",0,.0873291,.3397046,0,11,"SSP3",8.462e+14,2.454786
